iter	Passed	Remaining
864	82447	12867
865	82555	12774
866	82656	12679
867	82759	12585
868	82854	12490
869	82948	12394
870	83043	12299
871	83144	12204
872	83239	12109
873	83340	12014
874	83433	11919
875	83534	11824
876	83643	11731
877	83732	11634
878	83830	11539
879	83925	11444
880	84021	11349
881	84117	11253
882	84211	11158
883	84305	11062
884	84406	10968
885	84504	10873
886	84603	10778
887	84699	10682
888	84794	10587
889	84888	10491
890	84982	10396
891	85076	10300
892	85174	10205
893	85279	10111
894	85370	10015
895	85477	9921
896	85577	9826
897	85672	9731
898	85763	9635
899	85862	9540
900	85959	9445
901	86050	9349
902	86146	9253
903	86253	9159
904	86354	9064
905	86478	8972
906	86585	8878
907	86684	8782
908	86813	8690
909	86903	8594
910	86996	8499
911	87110	8405
912	87215	8310
913	87320	8216
914	87424	8121
915	87540	8027
916	87639	7932
917	87745	7837
918	87861	7744
919	87953	7648
920	88043	7552
921	88138	7456
922	88231	7360
923	88326	7264
924	88419	7169
925	88523	7074
926	88626	6979
927	88730	6884
928	88822	6788
929	88921	6693
930	89027	6598
931	89119	6502
932	89215	6406
933	89302	6310
934	89397	6214
935	89490	6118
936	89599	6024
937	89689	5928
938	89779	5832
939	89876	5736
940	89982	5641
941	90077	5546
942	90179	5450
943	90274	5355
944	90382	5260
945	90486	5165
946	90584	5069
947	90674	4973
948	90777	4878
949	90875	4782
950	90967	4687
951	91068	4591
952	91169	4496
953	91272	4400
954	91376	4305
955	91488	4210
956	91588	4115
957	91689	4019
958	91791	3924
959	91898	3829
960	92002	3733
961	92106	3638
962	92211	3542
963	92330	3448
964	92428	3352
965	92532	3256
966	92626	3160
967	92728	3065
968	92817	2969
969	92923	2873
970	93021	2778
971	93124	2682
972	93218	2586
973	93312	2490
974	93408	2395
975	93507	2299
976	93607	2203
977	93703	2107
978	93812	2012
979	93908	1916
980	94010	1820
981	94115	1725
982	94211	1629
983	94315	1533
984	94423	1437
985	94541	1342
986	94642	1246
987	94737	1150
988	94832	1054
989	94922	958
990	95021	862
991	95144	767
992	95238	671
993	95335	575
994	95436	479
995	95545	383
996	95638	287
997	95738	191
998	95835	95
999	95945	0
